id_themoviedb,id_genre,media_type
653851,10752,filme
653851,18,filme
653851,28,filme
44826,12,filme
44826,18,filme
44826,10751,filme
59490,99,filme
912480,53,filme
912480,80,filme
423710,99,filme
72358,18,filme
72358,35,filme
72358,14,filme
1226406,28,filme
1226406,35,filme
1226406,10749,filme
317925,35,filme
1653,18,filme
1011477,28,filme
1011477,12,filme
1011477,18,filme
28510,12,filme
28510,28,filme
28510,878,filme
28510,53,filme
459116,99,filme
884573,99,filme
2989,12,filme
2989,35,filme
2989,27,filme
2989,53,filme
15922,18,filme
15922,10751,filme
339984,10751,filme
339984,18,filme
75300,18,filme
75300,10402,filme
958186,18,filme
958186,35,filme
158675,36,filme
158675,10402,filme
135595,18,filme
135595,53,filme
39401,18,filme
39401,10751,filme
1013776,99,filme
11918,35,filme
11918,28,filme
11918,878,filme
24469,18,filme
10955,80,filme
10955,53,filme
79316,27,filme
24450,35,filme
955695,99,filme
253944,35,filme
35619,18,filme
256274,27,filme
256274,53,filme
12308,35,filme
12308,18,filme
12308,10749,filme
315839,10752,filme
315839,99,filme
315839,12,filme
315839,36,filme
53457,18,filme
53457,10752,filme
212063,99,filme
502194,99,filme
266619,99,filme
50321,12,filme
50321,16,filme
50321,10751,filme
578189,28,filme
578189,80,filme
578189,18,filme
578189,53,filme
44982,18,filme
44982,53,filme
41999,99,filme
157360,35,filme
277834,12,filme
277834,35,filme
277834,10751,filme
277834,16,filme
403431,35,filme
403431,18,filme
26507,99,filme
335988,28,filme
335988,12,filme
335988,878,filme
367966,99,filme
1242357,35,filme
603204,18,filme
603204,10749,filme
603204,53,filme
676727,16,filme
676727,18,filme
676727,10751,filme
676727,36,filme
13260,35,filme
1010756,27,filme
1010756,53,filme
378379,99,filme
378379,36,filme
913854,99,filme
467909,18,filme
467909,10749,filme
65057,35,filme
65057,18,filme
27573,28,filme
27573,35,filme
27573,10749,filme
9555,12,filme
9555,18,filme
9555,36,filme
131631,878,filme
131631,12,filme
131631,53,filme
105972,99,filme
1183500,18,filme
507256,10402,filme
507256,99,filme
383354,18,filme
173897,28,filme
173897,27,filme
173897,878,filme
630016,37,filme
630016,18,filme
24060,80,filme
24060,99,filme
43493,18,filme
43493,10749,filme
43493,53,filme
91550,53,filme
91550,80,filme
91550,18,filme
91550,28,filme
91550,35,filme
280668,10402,filme
280668,99,filme
12228,99,filme
931285,28,filme
931285,14,filme
931285,12,filme
2267,18,filme
2267,878,filme
2267,12,filme
38879,99,filme
16433,35,filme
16433,18,filme
16433,12,filme
426563,35,filme
426563,9648,filme
426563,80,filme
607776,27,filme
130458,,filme
12410,18,filme
6575,35,filme
6575,10402,filme
335151,18,filme
341240,99,filme
8892,35,filme
8892,18,filme
608504,99,filme
828373,18,filme
306745,10749,filme
306745,18,filme
6278,12,filme
6278,28,filme
6278,14,filme
54138,28,filme
54138,12,filme
54138,878,filme
820710,14,filme
820710,27,filme
58151,27,filme
58151,35,filme
253155,99,filme
158852,12,filme
158852,10751,filme
158852,9648,filme
158852,878,filme
450933,99,filme
17113,18,filme
16070,99,filme
7797,14,filme
7797,18,filme
7797,9648,filme
1118031,18,filme
1118031,28,filme
1118031,27,filme
9986,35,filme
9986,10751,filme
9986,14,filme
1134055,28,filme
912916,10749,filme
912916,18,filme
912916,35,filme
81923,18,filme
50646,35,filme
50646,18,filme
50646,10749,filme
837938,18,filme
9703,28,filme
9703,12,filme
9703,14,filme
9703,10752,filme
42297,18,filme
42297,10749,filme
368940,16,filme
368940,12,filme
368940,35,filme
368940,10751,filme
9904,10751,filme
9904,16,filme
455207,35,filme
455207,10749,filme
140122,35,filme
140122,18,filme
654974,10751,filme
654974,35,filme
654974,80,filme
390996,99,filme
390996,10402,filme
80767,99,filme
73872,18,filme
793807,80,filme
793807,18,filme
793807,9648,filme
793807,53,filme
184374,10752,filme
184374,36,filme
184374,18,filme
1203397,10402,filme
1203397,99,filme
31130,18,filme
31130,10749,filme
31130,53,filme
8051,10749,filme
8051,18,filme
8051,35,filme
295799,99,filme
739405,28,filme
739405,35,filme
739405,53,filme
33152,28,filme
33152,35,filme
33152,80,filme
1038392,27,filme
1038392,53,filme
46837,35,filme
46837,878,filme
46837,9648,filme
1139467,18,filme
1139467,10749,filme
308027,10749,filme
308027,35,filme
308027,18,filme
239605,37,filme
399790,18,filme
399790,36,filme
15664,18,filme
15664,53,filme
15664,878,filme
21544,35,filme
21544,10749,filme
15451,80,filme
15451,18,filme
15451,10749,filme
534313,16,filme
534313,10751,filme
534313,35,filme
534313,12,filme
20093,18,filme
20093,28,filme
20093,80,filme
244772,18,filme
1051896,28,filme
1051896,27,filme
1051896,53,filme
1051896,878,filme
11324,18,filme
11324,53,filme
11324,9648,filme
49494,12,filme
49494,18,filme
68818,12,filme
68818,28,filme
68818,37,filme
9353,35,filme
10075,18,filme
10075,14,filme
10075,27,filme
10075,10749,filme
9918,18,filme
9918,36,filme
276,18,filme
276,35,filme
37559,12,filme
37559,35,filme
136582,18,filme
174309,99,filme
131880,99,filme
110323,18,filme
11556,18,filme
11556,28,filme
11556,35,filme
11556,53,filme
432602,99,filme
73706,35,filme
73706,10749,filme
73706,10751,filme
93223,18,filme
93223,35,filme
93223,10749,filme
570670,53,filme
570670,878,filme
570670,27,filme
28200,18,filme
28200,10749,filme
1111873,27,filme
1111873,53,filme
237756,35,filme
237756,53,filme
237756,9648,filme
611179,35,filme
611179,18,filme
230358,18,filme
1562,27,filme
1562,53,filme
1562,878,filme
231,18,filme
231,53,filme
1063679,35,filme
114730,27,filme
114730,28,filme
114730,53,filme
114730,878,filme
430040,28,filme
430040,12,filme
430040,80,filme
430040,53,filme
22617,18,filme
22617,28,filme
22617,53,filme
1008374,53,filme
1008374,27,filme
1008374,18,filme
1435760,35,filme
58727,53,filme
1088514,18,filme
28520,18,filme
28520,53,filme
28520,10749,filme
346685,80,filme
346685,18,filme
346685,9648,filme
346685,53,filme
84332,35,filme
84332,10749,filme
84332,878,filme
629540,35,filme
629540,10751,filme
629540,14,filme
405775,10752,filme
405775,53,filme
405775,18,filme
405775,28,filme
199341,35,filme
199341,10749,filme
456508,99,filme
13172,35,filme
342208,10749,filme
342208,18,filme
60015,18,filme
60015,35,filme
60015,10749,filme
18001,35,filme
17654,878,filme
740985,35,filme
441,18,filme
441,35,filme
946138,99,filme
946138,36,filme
334521,28,filme
334521,80,filme
334521,9648,filme
23827,27,filme
23827,9648,filme
836485,99,filme
842924,878,filme
842924,14,filme
842924,18,filme
98066,35,filme
9740,80,filme
9740,18,filme
9740,53,filme
603488,18,filme
128104,18,filme
33774,18,filme
44524,35,filme
44524,18,filme
44524,10749,filme
48767,28,filme
48767,80,filme
48767,18,filme
853,18,filme
853,10752,filme
853,36,filme
853,10749,filme
339987,10752,filme
339987,18,filme
339987,10749,filme
209276,18,filme
14344,35,filme
14344,18,filme
420818,12,filme
420818,18,filme
420818,10751,filme
420818,16,filme
6964,18,filme
6964,35,filme
6964,10749,filme
20177,12,filme
20177,35,filme
20177,878,filme
980271,18,filme
194662,18,filme
194662,35,filme
38055,16,filme
38055,28,filme
38055,35,filme
38055,10751,filme
38055,878,filme
8359,10751,filme
8359,35,filme
8359,18,filme
8359,9648,filme
1212742,27,filme
1212742,53,filme
45864,28,filme
45864,12,filme
45864,35,filme
45864,10749,filme
10521,35,filme
10521,10749,filme
7735,18,filme
7735,53,filme
668640,35,filme
668640,18,filme
