id_themoviedb,id_imdb,title,original_title,description,dt_launch,original_language,media_type,poster_url,popularity,vote_average,vote_count,adult
13836,tt1075417,A Montanha Enfeitiçada,Race to Witch Mountain,"Jack Bruno, um taxista de Las Vegas, esforçando-se para permanecer no caminho certo, recebe incentivos de outro mundo quando dois alienígenas disfarçados de adolescentes aparecem no seu táxi repentinamente. Em uma corrida contra o tempo, agentes do governo e um caçador de alienígenas, Jack tem que ajudar as crianças a recuperarem sua espaçonave perdida para que elas possam voltar para casa e salvar o seu planeta e a Terra também.",2009-03-13,en,movie,https://image.tmdb.org/t/p/w500/ej1pY47zGJwFlywEgfITT1HJDR6.jpg,4.8502,5.801,1746,False
169813,tt2370248,Temporário 12,Short Term 12,"Dedicada e durona, Grace é uma formidável cuidadora das crianças em sua proteção – e apaixonada por seu namorado, Mason. Mas seu passado difícil – e o futuro surpreendente que de repente se apresenta – a jogam numa confusão imprevista, piorada com a chegada de uma nova admissão na unidade: uma adolescente talentosa mas problemática com quem Grace tem uma conexão carregada.",2013-08-23,en,movie,https://image.tmdb.org/t/p/w500/qKnsyaJZLXfiL2JhIJEkpA8C3LU.jpg,1.5787,7.76,1342,False
55816,tt1489185,If I Die Tonight,If I Die Tonight,,2009-09-06,en,movie,,0.0859,1.0,1,False
776503,tt10366460,No Ritmo do Coração,CODA,"Como CODA (Filhos de Adultos Surdos), Ruby é a única pessoa com audição em sua família. Quando o negócio de pesca da família é ameaçado, Ruby se vê dividida entre seguir seu amor pela música e seu medo de abandonar seus pais.",2021-08-13,en,movie,https://image.tmdb.org/t/p/w500/rnEcFnQYgZ6mmxeeaEeLNSZdgD8.jpg,4.9228,7.914,2380,False
57488,tt1045874,The Price of Sugar,The Price of Sugar,,2007-03-11,en,movie,https://image.tmdb.org/t/p/w500/iJe5xgSE964G7t6fwar2tWDPxc0.jpg,0.0512,5.0,2,False
276496,tt2192016,Cavalo Negro,The Dark Horse,"Sofrendo de um grave transtorno bipolar, Genesis Potini (Cliff Curtis) é um ex-campeão de xadrez que decide treinar um grupo de jovens de uma comunidade. Ao mesmo tempo, ele quer construir uma nova vida e se reconectar com sua família, tentando desviar seu irmão, sobrinho e seus aprendizes do caminho do crime.",2014-07-17,en,movie,https://image.tmdb.org/t/p/w500/qaYROTCUIYYfHLU6ClzXygychzu.jpg,0.5102,6.3,138,False
540248,tt5598868,Here Are the Young Men,Here Are the Young Men,Três amigos chegam ao final dos estudos num subúrbio irlandês e se vêem diante dos desafios de decidir os rumos de suas vidas.,2021-05-27,en,movie,https://image.tmdb.org/t/p/w500/c3mjUlMtRaV0jZMCButxI0g4Xkc.jpg,0.532,5.459,49,False
45324,tt1194417,O Super Lobista,Casino Jack,"Jack Abramoff (Kevin Spacey) é um conhecido lobista que atua frequentemente em Washington, capital dos Estados Unidos. Sua função é influenciar a política do país, de forma que ele e seus clientes sejam beneficiados, em especial donos de cassino. Quando é acusado de corrupção e assassinato, Jack usa seus contatos para conseguir escapar dos tribunais.",2010-09-16,en,movie,https://image.tmdb.org/t/p/w500/eFI1rRBCdLMgtVHZ4a9ckvvYxlY.jpg,0.8297,5.851,305,False
8961,tt0172156,Os Bad Boys II,Bad Boys II,"Os detetives da Narcóticos Marcus Burnett e Mike Lowrey foram designados para investigar a proliferação do ecstasy na cidade de Miami. As investigações os levam a um alvo maior, Johnny Tapia, um traficante cuja ambição de tomar conta do tráfico na cidade inicia uma verdadeira guerra entre quadrilhas. Em meio a esta situação, Lowrey passa a se interessar por Syd, irmã de Burnett, o que põe a amizade deles à prova.",2003-07-18,en,movie,https://image.tmdb.org/t/p/w500/owcyf6tip6K7ZhYJmb2pckvmmHU.jpg,7.866,6.655,5693,False
354285,tt4827986,O Sentido do Fim,The Sense of an Ending,"Tony (Jim Broadbent) é um homem de meia idade que construi uma nova vida na tentativa de esquecer o passado. Mas, ele passa a ser rodeado por lembranças com a volta de antigos amigos, como uma antiga paixão e o diário de um amigo que já morreu.",2017-03-10,en,movie,https://image.tmdb.org/t/p/w500/ojeoEVnnDpeXuI8D9Vabuyu3FUL.jpg,3.3291,6.379,210,False
