id_media,id_genre
1212742,27
1212742,53
45864,28
45864,12
45864,35
45864,10749
10521,35
10521,10749
7735,18
7735,53
668640,35
668640,18
9754,28
9754,80
9754,53
41862,35
41862,10749
369894,18
1266809,35
1266809,18
130739,18
130739,35
11376,53
11376,27
820697,18
820697,14
820697,10749
107985,35
107985,28
107985,878
329981,18
329981,53
264999,35
264999,18
105788,18
105788,10749
39358,18
39358,9648
25350,35
25350,18
665149,18
665149,10749
99603,99
99603,10402
1079485,27
1079485,53
1026880,10752
1026880,18
1026880,36
286530,
21605,35
21605,10751
21605,878
534338,18
534338,9648
429300,53
429300,10749
429300,12
1248779,18
1248779,35
1248779,10749
1033148,18
1033148,53
1033148,35
403586,18
7501,80
7501,53
38004,35
38004,10749
585504,10402
585504,18
45569,28
45569,53
45569,37
23512,18
21043,18
21043,53
4836,18
4836,53
4836,80
73252,80
73252,18
73252,9648
73252,53
612654,99
444539,18
1278633,99
1159799,10751
1159799,12
1159799,18
41210,35
41210,10749
41210,18
518495,35
518495,878
518495,14
805195,10751
805195,18
9910,35
9910,80
9910,18
9910,53
7090,18
338107,18
39037,35
39037,10749
115782,18
115782,36
185843,80
185843,27
185843,53
85414,80
85414,28
85414,53
85414,9648
180369,99
341174,18
341174,10749
987686,10749
987686,35
854359,18
943818,35
33339,35
33339,10402
33339,18
15486,18
15486,53
730047,18
730047,10749
748167,878
748167,12
748167,28
340676,18
340676,9648
340676,53
19423,35
19423,10749
122906,18
122906,10749
122906,14
846528,35
846528,10751
846528,14
802219,10402
802219,36
802219,18
605,12
605,28
605,53
605,878
24868,27
896536,10751
896536,14
896536,12
13439,18
13439,36
18701,35
18701,18
18701,10749
795230,53
795230,10749
795230,18
253263,99
375588,12
375588,28
375588,53
375588,14
1073650,18
1073650,35
41044,35
41044,10749
41044,18
684684,27
684684,12
684684,14
503150,99
7351,18
70578,53
169642,35
1042650,18
526007,53
526007,80
526007,18
1239251,16
1239251,35
1239251,878
888321,18
888321,36
59967,28
59967,53
59967,878
43936,99
43936,36
43936,10752
315837,878
315837,18
315837,28
13356,10751
13356,10749
13356,35
1368166,53
1368166,9648
72187,18
212778,35
653569,35
653569,878
10609,18
10609,35
10609,10749
404945,99
35651,18
426249,18
426249,10402
426249,53
426249,27
38050,878
38050,53
38050,10749
261945,
399057,18
399057,53
399057,9648
502130,99
10186,35
10186,10402
92493,80
92493,18
92493,36
502129,99
381033,18
630240,18
630240,53
630240,27
11968,28
11968,53
11968,12
11968,80
710258,37
11490,18
332562,10402
332562,18
332562,10749
10885,27
10885,9648
10885,53
45156,35
45156,18
45156,10749
1260345,18
24078,18
5353,28
5353,12
5353,53
5353,18
433498,12
